Date,Day ,Month,Year,Quarter,Open,High,Low,Close,Volume
07-09-1984,Friday,September,1984,Q3,0.0998239,0.101049,0.0986188,0.0998239,98594718.56
10-09-1984,Monday,September,1984,Q3,0.0998239,0.10013,0.0974239,0.0992315,76525586.3
11-09-1984,Tuesday,September,1984,Q3,0.10013,0.102846,0.10013,0.101049,180451874.8
12-09-1984,Wednesday,September,1984,Q3,0.101049,0.101641,0.0980066,0.0980066,157640102.5
13-09-1984,Thursday,September,1984,Q3,0.10346,0.103754,0.10346,0.10346,245518630.1
14-09-1984,Friday,September,1984,Q3,0.103754,0.10736,0.103754,0.10495,292335803.4
17-09-1984,Monday,September,1984,Q3,0.107676,0.109178,0.107676,0.107676,228250569.6
18-09-1984,Tuesday,September,1984,Q3,0.107676,0.108565,0.103754,0.103754,115226112.8
19-09-1984,Wednesday,September,1984,Q3,0.103754,0.10495,0.101641,0.101641,125862763
20-09-1984,Thursday,September,1984,Q3,0.101938,0.102846,0.101938,0.101938,78355891.53
21-09-1984,Friday,September,1984,Q3,0.101938,0.10495,0.0998239,0.101049,118223408.4
24-09-1984,Monday,September,1984,Q3,0.101049,0.101641,0.10013,0.10013,93554928.38
25-09-1984,Tuesday,September,1984,Q3,0.0998239,0.0998239,0.0980066,0.0980066,197507733.8
26-09-1984,Wednesday,September,1984,Q3,0.0980066,0.102529,0.0968212,0.0968212,131406576
27-09-1984,Thursday,September,1984,Q3,0.0968212,0.0974239,0.0968212,0.0968212,125438353.9
28-09-1984,Friday,September,1984,Q3,0.0968212,0.0968212,0.092594,0.0944014,276394064.8
01-10-1984,Monday,October,1984,Q4,0.0941151,0.0941151,0.0922879,0.0922879,115783124
02-10-1984,Tuesday,October,1984,Q4,0.0928905,0.096209,0.0928905,0.0928905,140027248.6
03-10-1984,Wednesday,October,1984,Q4,0.0944014,0.0959027,0.0944014,0.0944014,142600267.7
04-10-1984,Thursday,October,1984,Q4,0.0955867,0.096209,0.0955867,0.0955867,148594984.4
05-10-1984,Friday,October,1984,Q4,0.0955867,0.0955867,0.0928905,0.0935026,115544422.7
08-10-1984,Monday,October,1984,Q4,0.0935026,0.0941151,0.0935026,0.0935026,55623662.06
09-10-1984,Tuesday,October,1984,Q4,0.0935026,0.0941151,0.092594,0.092594,148329712.5
10-10-1984,Wednesday,October,1984,Q4,0.092594,0.092594,0.0898681,0.0898681,432044786.7
11-10-1984,Thursday,October,1984,Q4,0.0898681,0.0922879,0.0892754,0.0892754,216420287.5
12-10-1984,Friday,October,1984,Q4,0.0892754,0.0898681,0.084732,0.0853445,314749750.4
15-10-1984,Monday,October,1984,Q4,0.0901645,0.0910731,0.0901645,0.0901645,288065225.9
16-10-1984,Tuesday,October,1984,Q4,0.0901645,0.0904804,0.0898681,0.0898681,139762070.8
17-10-1984,Wednesday,October,1984,Q4,0.0935026,0.0941151,0.0935026,0.0935026,185491765.2
18-10-1984,Thursday,October,1984,Q4,0.096209,0.0968212,0.096209,0.096209,292680633.3
19-10-1984,Friday,October,1984,Q4,0.096209,0.102846,0.0959027,0.096209,386182514.6
22-10-1984,Monday,October,1984,Q4,0.096209,0.0977102,0.0955867,0.0955867,135889371.2
23-10-1984,Tuesday,October,1984,Q4,0.0977102,0.0986188,0.0977102,0.0977102,220770467.6
24-10-1984,Wednesday,October,1984,Q4,0.0986188,0.0998239,0.0986188,0.0986188,197772989.5
25-10-1984,Thursday,October,1984,Q4,0.0986188,0.0986188,0.0950138,0.0950138,187295501.8
26-10-1984,Friday,October,1984,Q4,0.0950138,0.0950138,0.0922879,0.092594,135995424.9
29-10-1984,Monday,October,1984,Q4,0.0928905,0.0935026,0.0928905,0.0928905,59973813.79
30-10-1984,Tuesday,October,1984,Q4,0.0941151,0.0950138,0.0941151,0.0941151,88329409.1
31-10-1984,Wednesday,October,1984,Q4,0.0941151,0.0950138,0.0935026,0.0935026,71326668.01
01-11-1984,Thursday,November,1984,Q4,0.0941151,0.0950138,0.0941151,0.0941151,55703206.88
02-11-1984,Friday,November,1984,Q4,0.0941151,0.0944014,0.0928905,0.0935026,32785326.28
05-11-1984,Monday,November,1984,Q4,0.0935026,0.0955867,0.0928905,0.0928905,124775235.5
06-11-1984,Tuesday,November,1984,Q4,0.0986188,0.0992315,0.0986188,0.0986188,266818454.6
07-11-1984,Wednesday,November,1984,Q4,0.0986188,0.0992315,0.0968212,0.0968212,274192477.6
08-11-1984,Thursday,November,1984,Q4,0.0968212,0.0968212,0.0928905,0.0928905,104350696.6
09-11-1984,Friday,November,1984,Q4,0.0928905,0.0935026,0.0865692,0.0874778,348304331.8
12-11-1984,Monday,November,1984,Q4,0.0904804,0.0910731,0.0904804,0.0904804,134112134.4
13-11-1984,Tuesday,November,1984,Q4,0.0904804,0.092594,0.0883866,0.0883866,150000851.2
14-11-1984,Wednesday,November,1984,Q4,0.0892754,0.0901645,0.0892754,0.0892754,123554998.6
15-11-1984,Thursday,November,1984,Q4,0.0892754,0.0901645,0.0892754,0.0892754,126234079.5
16-11-1984,Friday,November,1984,Q4,0.0892754,0.0904804,0.0868754,0.0874778,196287582
19-11-1984,Monday,November,1984,Q4,0.0874778,0.0880805,0.0823322,0.0823322,275890075.5
20-11-1984,Tuesday,November,1984,Q4,0.0850383,0.0853445,0.0850383,0.0850383,311725822.4
21-11-1984,Wednesday,November,1984,Q4,0.0868754,0.0874778,0.0868754,0.0868754,211645702.4
23-11-1984,Friday,November,1984,Q4,0.0880805,0.0904804,0.0880805,0.0892754,162335062.8
26-11-1984,Monday,November,1984,Q4,0.0901645,0.0901645,0.0901645,0.0901645,119178406.8
27-11-1984,Tuesday,November,1984,Q4,0.092594,0.0935026,0.092594,0.092594,150876144.8
28-11-1984,Wednesday,November,1984,Q4,0.0974239,0.0998239,0.0974239,0.0974239,486130035.6
29-11-1984,Thursday,November,1984,Q4,0.0974239,0.0974239,0.0955867,0.0955867,207083406.9
30-11-1984,Friday,November,1984,Q4,0.0955867,0.096209,0.092594,0.0928905,128727522.4
03-12-1984,Monday,December,1984,Q4,0.0928905,0.0935026,0.0916755,0.0916755,116048379.6
04-12-1984,Tuesday,December,1984,Q4,0.0935026,0.0955867,0.0935026,0.0935026,142547194.3
05-12-1984,Wednesday,December,1984,Q4,0.0980066,0.0980066,0.0980066,0.0980066,311327992
06-12-1984,Thursday,December,1984,Q4,0.102846,0.10346,0.102846,0.102846,375705024.9
07-12-1984,Friday,December,1984,Q4,0.102846,0.106766,0.101938,0.102529,585599984.1
10-12-1984,Monday,December,1984,Q4,0.102529,0.102529,0.100447,0.100447,132016623
11-12-1984,Tuesday,December,1984,Q4,0.100447,0.101938,0.0992315,0.0992315,146579036.1
12-12-1984,Wednesday,December,1984,Q4,0.0992315,0.0992315,0.0959027,0.0959027,130345577.5
13-12-1984,Thursday,December,1984,Q4,0.0968212,0.0986188,0.0968212,0.0968212,79151602.9
14-12-1984,Friday,December,1984,Q4,0.0968212,0.10013,0.0968212,0.0992315,113846793.4
17-12-1984,Monday,December,1984,Q4,0.101641,0.102529,0.101641,0.101641,148303230
18-12-1984,Tuesday,December,1984,Q4,0.107676,0.107971,0.107676,0.107676,403291302.3
19-12-1984,Wednesday,December,1984,Q4,0.107676,0.107971,0.10346,0.10346,375970256.3
